name,links,intro,about
Pier Walk,https://open.spotify.com/track/1YDFA4AnBlEm7YpOFQNvaK,,
Anthill Dial-Up,https://open.spotify.com/track/6YQMU76Sg94ImwNnoiD7jS,,
Fiore,https://open.spotify.com/track/5s8aZdnosGC0NY1hYzzGYU,,
Ziti,https://open.spotify.com/track/10h5MUwshHPU3PDags8HKs,,
Site Crash,https://open.spotify.com/track/3kpOreNShsEnVu9zapP3jA,,
Crispr,https://open.spotify.com/track/1vqIW47JUa2xA10M6nyS5g,,
Barstow,https://open.spotify.com/track/19EucPcSJgn0LoG6kRwTUO,,
Sometimes Y,https://open.spotify.com/track/7cBFLPXuqs2gbn6EBWqZMv,,
Tantalum,https://open.spotify.com/track/5BVEcslqRUqOeKNaseUNnA,,
Pier View / Leaving Soon,https://open.spotify.com/track/68WsNwgmyndRYHErMIGILN,,
