name,links,intro,about
Rain Machine,https://open.spotify.com/track/4NdTW4uBtsX3x262z7xrdG,,
Cavalcade,https://open.spotify.com/track/1rUzmA1BxyqRW6IMK3cOqc,,
Taxidermy (Don't Touch Me),https://open.spotify.com/track/2JX62FSxbVsoGvYFjkWs3p,,
Julian,https://open.spotify.com/track/61qjZVN0Nby6B0kNV5Caa8,,
By Design,https://open.spotify.com/track/7KILT62LURvgkRr91sRI6L,,
Grin,https://open.spotify.com/track/5RjMdMxLVPqWNoyUe9EMD6,,
Ex Kids,https://open.spotify.com/track/1HuRE2U8QSPzISbZPRV1q9,,
Sweeteater,https://open.spotify.com/track/4tPQhsfh8rNnBdOmbEa91H,,
On/Off,https://open.spotify.com/track/6dejbkZSYXgCa9tTxxl4jE,,
Shiner,https://open.spotify.com/track/1GxbhWJ0sMEPQoJogT3VHY,,
Don't Tell Your Mom,https://open.spotify.com/track/4hyFMHZEO37XnNwePKqnkq,,
Quotessa,https://open.spotify.com/track/6zeXnApseQSeIVVzRXBS3F,,
