name,links,intro,about
Aetna Mirror,https://open.spotify.com/track/3hTNdqShJtroQtT6ZVsqjt,,
Exal,https://open.spotify.com/track/1vb4Xq3zaHfxlsoJZ64Q8f,,
Got Slept,https://open.spotify.com/track/7GVyRBp02JznJxS0lz5w9d,,
7th Substitute,https://open.spotify.com/track/7p8AAHg9pZXIfJhy1RXiGC,,
(Moonlit Combine),https://open.spotify.com/track/2TddcDl7mrzssFXOzBDRPd,,
Affection Through Derivatives,https://open.spotify.com/track/22OKE4VmLgjBACegYbUVU6,,
Cold One Out,https://open.spotify.com/track/3Tij0H6lEtofUkdxX4s3KD,,
(Sonder),https://open.spotify.com/track/5pmU37npar2WUkefSAMfQb,,
Dropped Offset,https://open.spotify.com/track/4qSC0NYjXwQ9xMfmgoNoZb,,
Perfectly Lost,https://open.spotify.com/track/5GqBp2F1xda3gC9F9C0kdd,,
Lockjaw Interference,https://open.spotify.com/track/6TFawt43EGbsFVqhKPqsmV,,
Suitable,https://open.spotify.com/track/0taDVgBcOv2c25jA74RWVz,,
Backwardation Bye,https://open.spotify.com/track/1AqFvQYHvPR6c3D7zlo6Og,,
