name,links,intro,about
Opening,https://open.spotify.com/track/4C4MGUCZiGueIPWGhvSYFa,,
Soar,https://open.spotify.com/track/6aBBEejbdidhjbN1aKmEXs,,
Dynasty,https://open.spotify.com/track/21JzmtvnKODtUTiQ5UPVqC,,
Conveyor,https://open.spotify.com/track/6JvqLCKGt46nmLfBoGf0Ho,,
No Rise,https://open.spotify.com/track/1x64hHQzoMbIpRWqS0jaP4,,
Hermit,https://open.spotify.com/track/0n5iIRtp5r57qr9qX5FdtK,,
Else,https://open.spotify.com/track/6ZhorEBwf2hvX8EIXeS5H8,,
Instance,https://open.spotify.com/track/1tcms8AqITJykDralKzihu,,
Muted Decision,https://open.spotify.com/track/4UTQVq95Qo66MHtW6CuAni,,
No Restoring,https://open.spotify.com/track/2mI2YTumj0IrQJrYDeZrHO,,
