name,links,intro,about
At Night,https://open.spotify.com/track/2KnyNyGPVpSZs4d8yvDCwA,,
Rip It Off,https://open.spotify.com/track/0JdSiAvcgMniq6bIUGWjTm,,
Nightlife,https://open.spotify.com/track/0w0bKboDdn8nEhQSjEcnGh,,
Say It 2 My Face,https://open.spotify.com/track/2WldhSZPBOOt5Yxv3oJhOj,,
Oh Shit! Good God!,https://open.spotify.com/track/2RIRPSSXqwQjqIqtcfbQPx,,
"Footrest, Ashtray, Punching Bag",https://open.spotify.com/track/3htQQWFZX28ekHfF0lxpiv,,
Bitch (I Love You),https://open.spotify.com/track/4CsyfNy5skqYopZVHVbYnC,,
Fuckface,https://open.spotify.com/track/2qwntnbUyjoYnFASOo66mV,,
Remedy,https://open.spotify.com/track/7vz5l9eDxpI3lh7O6DBpZq,,
Alibi,https://open.spotify.com/track/0rsYmlVP7SID2Ou7JEpcpl,,
