name,links,intro,about
Awe,https://open.spotify.com/track/5EnWH7wQx05Fm5JScupxb5,,
Dogman,https://open.spotify.com/track/02FWDCJZtLhbHcOEwUDD3e,,
Hold the Bow,https://open.spotify.com/track/0Ifm9UQAzcfmOtUoZ86bm1,,
Soon,https://open.spotify.com/track/5ml4lrfCjybcQYcjGh6FUD,,
Finally,https://open.spotify.com/track/41RP2TkbfIkMMHEmSoRiob,,
Live for You,https://open.spotify.com/track/3VblN3sanDu940g1KogA0g,,
Might as Well,https://open.spotify.com/track/6uZ5U3PiwVNxK4o0gKWGl8,,
Much Too Much,https://open.spotify.com/track/4ycUEsCrwTaTNOzwBvckxe,,
Can't Be Fucked,https://open.spotify.com/track/0y8vXCZv1F2Jkxi9p2NHdj,,
Without Will,https://open.spotify.com/track/107jK48dLRkj0FoYaYiZga,,
Let Me Wear the Mask,https://open.spotify.com/track/0aYIlCIzJZTJ6RmFzlZWK9,,
Woe Is Me,https://open.spotify.com/track/283LTBFhY22JZAnk5C2ebk,,
