name,links,intro,about
XIII. Crowns & Creases,https://open.spotify.com/track/4eDvovwjLSO2DoTe4rB559?si=ed1544ed2c104c7a,,
IV. Los Ojos Que Ahogan,https://open.spotify.com/track/65rFWmAMJuT32seAbE7czN?si=78e5bcb53401414d,,
"XVIII. Vertigo, Heat Stroke",https://open.spotify.com/track/3oj9sAs4SGo90C2MS1GvfU?si=e2c4bbaf8cae4c47,,
X. Reef Bleach,https://open.spotify.com/track/7b3az8NF8e5ZnSQTg7WcpV?si=e75aeb0cc1eb4618,,
VII. Ghalani,https://open.spotify.com/track/6siUFyWfYXFMYT9FjYuUPA?si=18a3dfca2b6c43fa,,
"XVI. Boundless, Timeless",https://open.spotify.com/track/7MHsJJWd41D6XwI1SvY2CG?si=61fde1b668444e07,,
XIV. @MarcKings,https://open.spotify.com/track/6LRhmOrmnYsvtvlFItYaAb?si=1cf500f468e74d02,,
IX. Don't Wait for It,https://open.spotify.com/track/1DY4EUcRA1laIDs09U5zDm?si=8dcfa32bb1af48fd,,
III. Rain Song for Five Bass Guitars,https://open.spotify.com/track/3DREKgxH4P7yWdbqyxccAG?si=770e6bd83ae24e23,,
V. My Storm at Sea,https://open.spotify.com/track/0WxBMZEUKdSim2lNnmsi6b?si=e82a172952f74f62,,
VIII. Undercurrents,https://open.spotify.com/track/6iz4KC58KDiK8ZGocFIqcH?si=08bbcbf638664264,,
XV. EcoNigga,https://open.spotify.com/track/3VdA4wF1ZS72sBUA8yc0OT?si=2b40ac0f3784414d,,
XVII. Information Anxieties,https://open.spotify.com/track/1jIiJnyjqtb7q441cIWPeo?si=3134435b1b4d475c,,
XII. Pyre by Wildfire,https://open.spotify.com/track/4byvPhE33xh6R8JAl4yDqp?si=26f2d296926041e2,,
XI. Nightfalls,https://open.spotify.com/track/1BrNTCrMQ1aAnA3up5Ijjx?si=533cd119b9e44d25,,
VI. Searching,https://open.spotify.com/track/7zKKVFqVVYbU4GXYmJk9HQ?si=be82faf894c14520,,
II. Nostalgie,https://open.spotify.com/track/3PkHRCiropCqp1waKVBV09?si=d5f96d23e3a14b0c,,
