name,links,intro,about
Gentle Push,https://open.spotify.com/track/5r8Z0hrt5ccEnbgIyzzFjy,,
Corn Syrup,https://open.spotify.com/track/5Ir6uDL6trzr8fcypKsG8X,,
Beijing Étude,https://open.spotify.com/track/6sjVX2LGOlKbRAquEgJLV0,,
Onion,https://open.spotify.com/track/1DcgDJmPUosau0RNGVX8Xx,,
I'm Thirsty,https://open.spotify.com/track/5PjelOX2Eq4TjJIveWDyiP,,
Placebo,https://open.spotify.com/track/18iYo2BdTPweOxU8uUOHoD,,
Bulk Option,https://open.spotify.com/track/3Yrwb3d2jlEdZ5k2ZxHOh1,,
135790713510923,https://open.spotify.com/track/6o8t2udoCAckUW5VzfGAjV,,
Pens & Pencils Scramble,https://open.spotify.com/track/1QKJoQ3i6fpIjxPXgo03Q5,,
Run to Catch a Train in the Jungle Heat,https://open.spotify.com/track/0W7L5K0Mk1mxS6RB5zuxkF,,
