name,links,intro,about
Being of Love,https://open.spotify.com/track/6FeUngTI24W56IwPJNvigp,,
Disintegration,https://open.spotify.com/track/7ouFy2qQd0ydHm4Spn6NbX,,
Ascension,https://open.spotify.com/track/4wGIWTppOe8Xmdwi2y9JXP,,
Travel Without Moving,https://open.spotify.com/track/72rnf90SH7tqq2cDuHToJK,,
Creature Visitation,https://open.spotify.com/track/76p736GGgMQLOxJhIixtC4,,
Problems in the Bliss,https://open.spotify.com/track/1448aYdZavdIXNdLdv7vLF,,
"Distant Star, Descend Into Me",https://open.spotify.com/track/4Jwi5HBo5Mb1YAvVdm80du,,
Sun Drone,https://open.spotify.com/track/6BosRwCtKCWzigfvrndhRB,,
Funeral for Bucky,https://open.spotify.com/track/0KGckBqJw8IR4PWUmbATJc,,
New Bardo Hotel,https://open.spotify.com/track/7xlaVnmZCnvZUW2VtPVHZP,,
Transmigration,https://open.spotify.com/track/0RVGr7G9akDetP7N6u6aGI,,
Artificial Limb Factory,https://open.spotify.com/track/6mtxVgWXDAUod5DK1Fflz3,,
Bridge to Nowhere,https://open.spotify.com/track/2D4tgTPpmdwjcVsJYwwxdG,,
