name,links,intro,about
The Old Wise,https://open.spotify.com/track/6R0wxKSqFwGiEsntJOgqIK,,
Enough To Say I Will,https://open.spotify.com/track/57gkgUF4dS1Cj9WUsEFTk2,,
Mode Antigona,https://open.spotify.com/track/2WwTE50IxSNgx4vcG0yqmj,,
Of Trust and Remorse,https://open.spotify.com/track/5vLGIKRQGEwJ0DFUaBevcs,,
Intermezzo No.3,https://open.spotify.com/track/3orFiw6MCV7hPrGSjvwxW1,,
Majestic Steps Glow Far,https://open.spotify.com/track/1aczzOIGA6qVAJ1eQQ3kXR,,
Dream Your Dreams,https://open.spotify.com/track/3ARrcl0qX3wVjDIPsuOLV2,,
Placid In Africansque,https://open.spotify.com/track/75c01xsI5c2s0RqYUqyAGt,,
Mode Brilliante,https://open.spotify.com/track/1KkZnEuraIV0z3gOHSenRH,,
Single Petal Of A Rose,https://open.spotify.com/track/38WTaZI85ljeNMS2d5lWwp,,
A Rooftop Minuet,https://open.spotify.com/track/0VnhdBOdJltAtJaT8u6iPw,,
Late Blossom,https://open.spotify.com/track/7fvzRuIelxLi0DTgkryOXz,,
Intermezzo No.4,https://open.spotify.com/track/2SodiLOIPK34qOlWRZ9tEL,,
In Satin,https://open.spotify.com/track/1XjeGTiDktzsPVv9vQlRkt,,
This You Mean To Me,https://open.spotify.com/track/6gW3PaCWFEPnK6ok25oBBs,,
Of Mentorship,https://open.spotify.com/track/2tto5fOoXfFWUwWFKEed5M,,
For Suzan,https://open.spotify.com/track/66wFK4XKsciuyYvF58impK,,
River Wash Me,https://open.spotify.com/track/3wcJu3NfOQtojyBPZ6JV3R,,
