name,links,intro,about
Conner's Days,https://open.spotify.com/track/0ZGh1EzWgOMnvwSrWZ9iRA,,
All the Things You Are,https://open.spotify.com/track/02ISHCYpy1dIXrH0ZGuz7h,,
Anymore,https://open.spotify.com/track/5lav5IIf0YkAjiUnNORUe3,,
Prelude to a Kiss,https://open.spotify.com/track/0fDPWynRwiAgZodjDaU1Nb,,
For Tracy,https://open.spotify.com/track/2KxKCzJ2gUPgxLwDDX7Y1r,,
Figuration,https://open.spotify.com/track/0Q1La9lFxSHWikixUBxKCQ,,
"Bewitched, Bothered and Bewildered",https://open.spotify.com/track/1rzdYFSYmNeEcUjX3EybHY,,
All of You,https://open.spotify.com/track/0dZj5XEEvuhXxiVpKUNAzu,,
Guernsey St. Gooseneck,https://open.spotify.com/track/2rt1GC3u2Hd3KgNgdW9Mp2,,
In the Wee Small Hours of the Morning,https://open.spotify.com/track/0oeUGF5YJJrH8I8dNKTLvl,,
Up,https://open.spotify.com/track/3JLvSCnAc73C22ai0WLOU9,,
Conner's Days Reprise,https://open.spotify.com/track/2VA03KaOOWi1ofKMsNmbXk,,
