name,links,intro,about
12/28/18,https://open.spotify.com/track/0Rr5GqhnBHaJienZQtr3vo,,
Pre-CGI,https://open.spotify.com/track/4Dq5RSJQxKaIR4990upmch,,
Affection Documentary,https://open.spotify.com/track/4KjjGih7YO5tqgkRcr6SUx,,
Century On The Cusp,https://open.spotify.com/track/0pCslWAKy36Do2RRfvvABm,,
2560 Sines For A. Morales,https://open.spotify.com/track/3qbojQ45E4Vt3z76Rl6xYv,,
Letter Writer,https://open.spotify.com/track/08ETY7USO4yZWhTpg2TgAO,,
Second Sight,https://open.spotify.com/track/2rdBJovv6n7fbhxAmp2FKe,,
Cathode Ray Mission,https://open.spotify.com/track/6WAip7tVEh4tk6IDN8k8cR,,
Pyramid Gallery,https://open.spotify.com/track/2HPLrTftH6ih9w3z3jqfFX,,
Lex,https://open.spotify.com/track/10jUtHeJ9lY040l6LnkKYa,,
Fascination Ends,https://open.spotify.com/track/50AH279enJ4UXrfeR137Mo,,
Enigma Key,https://open.spotify.com/track/6mzBIjZVSsAgfPuUbGuP4J,,
