name,links,intro,about
Unwise,https://open.spotify.com/track/44qyC6NI629hPDeuzVQ2U1,,
Seer,https://open.spotify.com/track/6uSivSNvKwPXmQE68ZRzI0,,
Judgement Day,https://open.spotify.com/track/3W5ej99JyaODxh90aaClXL,,
Come with Me In,https://open.spotify.com/track/2zLXcN4iywdsQLtdoM6CTG,,
Sun Rock,https://open.spotify.com/track/5Jh2KKFsN1XTOgqExAoPs3,,
Deserve to Die,https://open.spotify.com/track/3MaAfF1IDK3CcoG3BLsk6g,,
Body,https://open.spotify.com/track/5vuRmAPhEg4KpbWHq7s4ii,,
Morbid Obsession,https://open.spotify.com/track/1XlsWtXPn2YF7tsngzqjge,,
Catbird,https://open.spotify.com/track/60Xkn8sAP5X9DfPctRVOIk,,
Gender,https://open.spotify.com/track/3JkBacn0AeRdQ1wOX3eycT,,
