name,links,intro,about
Untitled 1,https://open.spotify.com/track/4c0TCKAfVJCjWrCuwX1CUl,,
Spiritual Curves In Blue,https://open.spotify.com/track/3tQ63NVWUA10zlMCfVGuVU,,
Not Enough Information,https://open.spotify.com/track/73FhEVQQrfvqodDbRCpqJZ,,
Morality Dynamic,https://open.spotify.com/track/0yWBcNrkLcCQSwuKxALgRS,,
(BC Int.),https://open.spotify.com/track/6zm1Nf6Upjzl5Gi7yvDtvg,,
"One, The Other, Both, Neither.",https://open.spotify.com/track/5GzdMVSYnnOBCpslWikiwu,,
Below The Secret,https://open.spotify.com/track/6aqE892rOREn7kcXjrq4sp,,
Anthro,https://open.spotify.com/track/0p2Drw6WgmGbV2asvDoJYb,,
Rookie Move,https://open.spotify.com/track/3Zctbwigl5RrCXR6boiymS,,
(Downtown Int.),https://open.spotify.com/track/3ZNXJRbNMw4jxTYCCXcH8q,,
Introspective To A Fault,https://open.spotify.com/track/44A3GuvSCRsmQd99XDXp4a,,
10 Below (New Day),https://open.spotify.com/track/5VdVYJZgoJYDW4b1d33zma,,
Untitled 2,https://open.spotify.com/track/5ew2w6FUI4xJtVyx7dcH0E,,
C-L-OVER,https://open.spotify.com/track/0N8pOQNHiLxtLrcmGluqNb,,
