name,links,intro,about
Signature,https://open.spotify.com/track/2rLeShxObfoKVnveE7nCdE,,
Criss Cross,https://open.spotify.com/track/7EBBcv5u7HjAirYnQTu5Wu,,
Four Verses / Continuation,https://open.spotify.com/track/11U73NzKhB2Asjhq58N9TX,,
Soof,https://open.spotify.com/track/0exZaHziXNvG40hya7Wec0,,
All of You,https://open.spotify.com/track/1Q7R5j56YwXaVeRQWXgpDE,,
Central Park West,https://open.spotify.com/track/1bR3V2FbaduwgJdwzdESP0,,
Ann's Tune,https://open.spotify.com/track/652ptwADq3iQcSSL7QAnqF,,
Calm,https://open.spotify.com/track/6DFnEdPsATHJfNyPPbXdU6,,
Ballad for an Unborn,https://open.spotify.com/track/7GDVMkAPrWWJF8At1KQdIh,,
Take the Coltrane,https://open.spotify.com/track/0EK963Vm4C2igVkMZ1lz0X,,
