name,links,intro,about
Perfect Blue,https://missgrit.bandcamp.com/track/perfect-blue,,
Your Eyes Are Mine,https://missgrit.bandcamp.com/track/your-eyes-are-mine,,
Nothing's Wrong,https://missgrit.bandcamp.com/track/nothings-wrong,,
Lain (Phone Clone),https://missgrit.bandcamp.com/track/lain-phone-clone,,
Buffering,https://missgrit.bandcamp.com/track/buffering,,
Follow the Cyborg,"https://missgrit.bandcamp.com/track/follow-the-cyborg,https://open.spotify.com/track/29Tr5faNVWpHHaN2JytX98?si=29bc0fee472d4e5e",,
사이보그를 따라와,https://missgrit.bandcamp.com/track/-,,
Like You,https://missgrit.bandcamp.com/track/like-you-2,,
The End,https://missgrit.bandcamp.com/track/the-end,,
Syncing,https://missgrit.bandcamp.com/track/syncing,,
