name,links,intro,about
No Control,https://open.spotify.com/track/2ar5ANG8hz9jtpThubLW1p,,
Not so Nice,https://open.spotify.com/track/7dbanbM82c5f1uR6jFeD7C,,
I Won't Run,https://open.spotify.com/track/2Fp1a3CUI3yKAIBVT7ViUn,,
Crash and Burn,https://open.spotify.com/track/2QkdmJwepDxYa1vnIsLPgg,,
People,https://open.spotify.com/track/0G1AvFaEz6d0wMaktW0YI8,,
Never Again,https://open.spotify.com/track/3xfmcaeEba3zfUW7PM94Nf,,
The Exhibition,https://open.spotify.com/track/3wF4pnR70LucDCT80dq2mL,,
My Empty Hand,https://open.spotify.com/track/33XKVtY4JnqbK1XLdWskMy,,
Home I Know,https://open.spotify.com/track/0DA3gc8LSIjCRLML3PKQi4,,
Sit in the Sun,https://open.spotify.com/track/4AwNSu3mO6p1QWzPnL1qCU,,
