name,links,intro,about
Iris Is Neil,https://open.spotify.com/track/3VIhqLfKxHqOQmfcm6JQtd,,
Oh Me Brotha,https://open.spotify.com/track/57rMDd4o3QFoTNtv0oRV6B,,
Theodor Marmalade,https://open.spotify.com/track/6w2j2ZLSJ6YgPSysWvvmgo,,
SandBox Galore,https://open.spotify.com/track/0gIJbwamgwYsp54bBZR1jx,,
Ortogonelya,https://open.spotify.com/track/2olaM1fRh0sm6dLPqWb4UR,,
Down The Silverlake,https://open.spotify.com/track/6c6BUTHpXC3mlg7d7UvU0i,,
Lucky Zoe,https://open.spotify.com/track/0Bd1x7qednUN9Ia1LblcVg,,
I Love ECM,https://open.spotify.com/track/3cczT6GwPg2jAPu2nyhJhI,,
The Curious Wild,https://open.spotify.com/track/0d5B7expEJnJgjlKEAS8FP,,
Mr. Pullman,https://open.spotify.com/track/6ieS8RgLCzVTUGJmLuSN6q,,
Bazooka Zoo,https://open.spotify.com/track/2RDubNuwuwb82X5Y58b8uX,,
Orange Encounter,https://open.spotify.com/track/5iGI8uHltMeczwIsEBp22k,,
Evergreen Meadows,https://open.spotify.com/track/4W8mPiRYRohhcdT1lSNyY2,,
Sera Sam (feat. Avishai Cohen),https://open.spotify.com/track/6ma4DAKOvX0Kbchmr8Cg8x,,
