name,links,intro,about
Yom Kippur (Psalms 130),https://open.spotify.com/track/6KpKdTDOiMjRFqhHPYAe6y,,
"Jerusalem, 66 CE",https://open.spotify.com/track/6OWXZaywkqubuob0jWAAp0,,
Moses' Tale,https://open.spotify.com/track/5tRVksmMvjYLuAq1FIX9HE,,
Florus and Bernice,https://open.spotify.com/track/0oMVsHsm3fdU2TRsKk3SQV,,
The Jerusalem Massacre,https://open.spotify.com/track/560Esl4FJyZeCHOzobVSbZ,,
Uprising,https://open.spotify.com/track/3DgRrX7xM2zW7SeHebVCWC,,
Bitter Victory,https://open.spotify.com/track/2RRmWXmhZMgwvonhbn8Ugj,,
Burning of the Archives,https://open.spotify.com/track/4VbJWha9Lqkp4FmbuUf2Pr,,
The Revolt Council,https://open.spotify.com/track/3hyxS0uBYDtetufCO8yhyt,,
Bernice's Plan,https://open.spotify.com/track/0YmJ3ubakXZEYJsJXiuTOe,,
Bernice and Aspasianus,https://open.spotify.com/track/2vWyhnA5yA5Bnqqw1BUIFt,,
The Galilee Massacre,https://open.spotify.com/track/59sjl6ZVT0ifNLkjLyit7B,,
Killing of the High Priest,https://open.spotify.com/track/0ZXjiJegn9GI14CetnsaUS,,
John Arrives,https://open.spotify.com/track/6FXnQ4trF5lR2rfwOig0VY,,
Bloody Victory Ball,https://open.spotify.com/track/4Tkxj80SuwJgVYjS623fZb,,
Falling In Love,https://open.spotify.com/track/4UYEe3xy3BjGM88MeNUIe2,,
Hallelu (Psalms 150),https://open.spotify.com/track/1utMJWm7SOyr8qCAJyne0f,,
Bar Giora Returns,https://open.spotify.com/track/0xLQjmhOmvSacL7xMH8jGu,,
Battle of the Electric Storm,https://open.spotify.com/track/2HJrgMHE580druQDnnhKE4,,
He Shall Not Slumber (Psalms 121),https://open.spotify.com/track/1hKypMtSHUENuswQiBq6Yg,,
Burning of the Food Stocks,https://open.spotify.com/track/120DZJr9HMlmxfB1TOUAou,,
There Is Forgiveness with Thee,https://open.spotify.com/track/4iCR78epkxbLd2cm20QwDS,,
Aspasianus Leaves for Rome,https://open.spotify.com/track/56A7gUJqJj9mWqLtFl16mP,,
Romans March on Jerusalem,https://open.spotify.com/track/1DgIBQy8hVEfPW1S0p3944,,
Famine,https://open.spotify.com/track/64MgemiZIX4VOSBYIKmhlU,,
Fire Catapults,https://open.spotify.com/track/5Bwqo9XHDhgNoWWEebca4F,,
Reconciliation,https://open.spotify.com/track/0AgfvexXhrwFAj7xdA8iaK,,
The Last Battle,https://open.spotify.com/track/2CxvZgGsZq5BR7814IZ16H,,
From the Straits (Psalms 118),https://open.spotify.com/track/0t2Fdx7Tr4WAajQ2hgkyH6,,
