name,links,intro,about
"Invite Me, Dance",https://open.spotify.com/track/1IMQnNMl9O2LLK9ym794Bz,,
Lemon the Moon,https://open.spotify.com/track/1wdeb9NXEBevuMP4TruukU,,
Bridge Under Water,https://open.spotify.com/track/4LmtpM7MdYmqsxuN47L1La,,
Far Picture of Bresi,https://open.spotify.com/track/6dwDSEOzw4bWu1A7Rnc8F2,,
Thin White Curtain,https://open.spotify.com/track/0ATZ7FFcCOEDlYwjtBneI2,,
Bonfire Wiggle,https://open.spotify.com/track/5HuIxTOWd4uNlphzAaQUsM,,
Witch Is Which,https://open.spotify.com/track/2P5zJmXrhTOG6yK27Lyn0C,,
Amelia Heals,https://open.spotify.com/track/6H54Yu0JC9mbXy1Mpu4SxP,,
Goat,https://open.spotify.com/track/4NFVpBCTb0odjQLJIDjr2T,,
Hangontree,https://open.spotify.com/track/3YZbmReV6wCjSyepfWVlzR,,
