name,links,intro,about
Red Wagon Go,https://open.spotify.com/track/38Oc6IHU1IUyFQpYo0187a,,
Annette & Issac,https://open.spotify.com/track/6VJUssDBrAsjNoT42dt3kI,,
Go Go Stay,https://open.spotify.com/track/51JMmTdYrfWsKi633diGBl,,
Explaining Sage,https://open.spotify.com/track/0R0CcRjxvvZ5hzneamteou,,
Jenny Wren,https://open.spotify.com/track/5yhDJmfSWcKLiyK8LKaN3J,,
Woman's Reach,https://open.spotify.com/track/14ZKjm11g2GeaHyyM4XvGH,,
Green Hill Pearls,https://open.spotify.com/track/103etFazmt6tU2C51iBINE,,
South to Cairo,https://open.spotify.com/track/3jmgYaUnALy3rvNmYcjzz4,,
Helicopter,https://open.spotify.com/track/3x40dPDWsAGDOYpyGWenqC,,
King's Seat,https://open.spotify.com/track/5DAQA1i0AAryJAJFNOxWcE,,
Double Astral Move,https://open.spotify.com/track/2SKc1UpOVO8cXfCDObdggG,,
Oye Asem,https://open.spotify.com/track/4ctGKk77u4whbSL3a6AZFr,,
Now You,https://open.spotify.com/track/7ti9W4waXp86jS52qtcp9T,,
