name,links,intro,about
Beyond This Point Are Mountains,https://open.spotify.com/track/6bmloODvt3AxgYX40J8Pme,,
Friend,https://open.spotify.com/track/2WAS1iyWsyhXOQmqsvAwUA,,
Necessary,https://open.spotify.com/track/6naI6KbnBI1Y3gxxzRFFSv,,
Persimmon,https://open.spotify.com/track/0SAwnweg09Zlj43Mu94MAY,,
Goodbye,https://open.spotify.com/track/6hSdWm6jYs3Yp32ay9fiGP,,
Korean Football,https://open.spotify.com/track/35VjBedHBhWdZUdQC5QPIh,,
Stride,https://open.spotify.com/track/3qJj7TtPN2lck4tKwuEzMP,,
Past,https://open.spotify.com/track/38VOogpCkRDtYLz8Ti0QDI,,
Restarts,https://open.spotify.com/track/723s7i52XY57F8dmcTq8L7,,
Past (Japanese Bonus Track),https://open.spotify.com/track/2ZOStDI8Ma3wlUbayN8Klw,,
