name,links,intro,about
Overstand,https://open.spotify.com/track/7JEJemQ8Z2BxGNvXE2DrQg,,
Lake VU,https://open.spotify.com/track/0TVUpxL9gvscfKVWq8636C,,
Énék Hamaguro,https://open.spotify.com/track/7xJa1PNajMspqc4rMyYhK2,,
Yaki’s Delight,https://open.spotify.com/track/7GldOfE28FtkZLCxuFWTkR,,
The Pit & The Beggar,https://open.spotify.com/track/2fWztoYL4ZCzX889Og2omv,,
Notre Damn,https://open.spotify.com/track/7dWdMtp0l1k5ICNVzIDFU4,,
Iris One,https://open.spotify.com/track/7e9okBaLTyXRS0jacDsWid,,
Four Green Yellows,https://open.spotify.com/track/1vslGdDPjiuYL8xQWlEEPM,,
Gerçekten Orada Değilsin,https://open.spotify.com/track/42XQOJoVn4zGBRBsCxy6Xh,,
Pulse 420,https://open.spotify.com/track/4045vwV4qcov5tBADk2hdx,,
