name,links,intro,about
The Cricket Club,https://open.spotify.com/track/5eeCk0gO9av7CMtuXQCjFn,,
Jakarta,https://open.spotify.com/track/6EWpxKt5zjvY7dfdQuRV6V,,
Around the Horn,https://open.spotify.com/track/5OlOF6pI5iS9XSgmzemSEb,,
Yes It Is,https://open.spotify.com/track/2oS1SYgBrnsyynmxbjLprG,,
Next To,https://open.spotify.com/track/3QMEjhiFsa2ANfcGchXC16,,
Homeric,https://open.spotify.com/track/5maQfzuHxEtD1aLj9KrXr9,,
Dr. T,https://open.spotify.com/track/4jZKk2o8p3dEfyo0NPZkey,,
"Siri, How Do I Know If I Have Commitment Issues?",https://open.spotify.com/track/5FKm5Axg6qcIvZhvYRTDhs,,
Soft Landing,https://open.spotify.com/track/2Ml76tX5epqCAZOzAR7yw8,,
Warm Regards,https://open.spotify.com/track/7clBmPVxvAcekZG4OBhaCo,,
Pre-Board,https://open.spotify.com/track/0IIsB5faXiTsPPqqyadCe7,,
Someday,https://open.spotify.com/track/61R9LkIjBrZisG4ee2OcsC,,
Wichita Wilkes,https://open.spotify.com/track/1azxUVYlOJLtRNT25r5wYz,,
