name,links,intro,about
Rotten Bun,https://open.spotify.com/track/6nzaTzGpF1fPuytOol2Rov?si=850b00bf022241c9,,
Ghost with a Peach Skin,https://open.spotify.com/track/5cD2vEAaTKeSUrpFR8Umbs?si=c148189df4b74771,,
Hotel Mini Soap,https://open.spotify.com/track/7wj1P0BA5Zrvyw2sBPYfTR?si=a850418149194619,,
Mother's Tongue,https://open.spotify.com/track/1g4mxq41HCFpuWXSdXphg4?si=f676150a093347cb,,
Dusty,https://open.spotify.com/track/2NR6sk2q4WAzVMB3qaqpx3?si=c613f3a70acb4761,,
Ho Bao Daan (Interlude),https://open.spotify.com/track/6QpjKGPztFBRNUyA3XCX17?si=a24df56d68984ff2,,
Demon 01,https://open.spotify.com/track/58l9LIFCByy2fpAPMIypK8?si=2d092936a23440fc,,
Dancing for Drinks,https://open.spotify.com/track/4GHwH6y1mEkczhHjTmFKjK?si=0935fd40191d4700,,
Talk to Death,https://open.spotify.com/track/4Nf2W4NxnFTE9u6M2gKEoG?si=f1538ada7b684f2b,,
Paw Paw,https://open.spotify.com/track/6ZiEw8I1uER3kSiBIdK8fB?si=2751e21dcc344b36,,
Eggless Century,https://open.spotify.com/track/5pIjZtR029kISevPQwDpRc?si=4d7f2ed1d2694fd9,,
Sore Bear,https://open.spotify.com/track/2UKGALJeQgwOshUMAZu6f6?si=1cc9bf2e470c41fa,,
