name,links,intro,about
Ghost,https://open.spotify.com/track/7pTzUaiKype6eRueteO7Et?si=823c239cfcf74a84,,
Yellow Paint,https://open.spotify.com/track/4lpzhX38iVT7LiWN0stlqM?si=e5bf4236178044c9,,
In Sensitivity,https://open.spotify.com/track/1w4yQRfa2cjOBDbCM9Cx4g?si=4184769d1db544d6,,
Aftermath,https://open.spotify.com/track/3O9eKzNp1kZAp7ywbmSVJA?si=018c7ad8d20b43fd,,
Your Bones,https://open.spotify.com/track/0SCO9tdqIgWkAoDojk7qhw?si=acc6fe27339449d1,,
Bedhead,https://open.spotify.com/track/17NYt2QkfrUFKctHUqgp7E?si=f540dc0859f64463,,
Bad Memory,https://open.spotify.com/track/4WLHAcyZmuqJuHZgdn3KZR?si=e887667c70b44cb3,,
Timetaker,https://open.spotify.com/track/41AvROfXZGsIqaDCXh65yR?si=d43ca13c51594a06,,
Perpetual,https://open.spotify.com/track/2nI3V0wPK4aL88qEK0NRSa?si=0f8c77838de04a0f,,
Eternal (Stream of Consciousness),https://open.spotify.com/track/3Qx0rkjDMUSHJsszvt8Eqi?si=c0fcbc8b88f148a1,,
The Pattern,https://open.spotify.com/track/4iJMxMHU2zpuErpRfxWfH8?si=cf6cc2ad06fc48d0,,
