name,links,intro,about
Naftulik,https://open.spotify.com/track/3IbIAhiR26gEEalGmWsjjA,,
Will The Wheel,https://open.spotify.com/track/4Z4wjEnQ2VJCtx7OERBn2e,,
blp blp away,https://open.spotify.com/track/3h4ZKBXrPfHtMQITYEPw1h,,
Green Parrots,https://open.spotify.com/track/4yHLY9yWq1gLJSCYQb1Xcm,,
Apollo 57,https://open.spotify.com/track/55jg6gMRtyImIQaiAIcWYh,,
The Audience,https://open.spotify.com/track/4i7wCcU4JM1YCMqYTQOaBy,,
Without Gas,https://open.spotify.com/track/4ECJexrwYJY9pEeOG3FG1f,,
Drunk & Donkey,https://open.spotify.com/track/5nqF1RdxC3rDnLMh8Hf328,,
Polo Rider,https://open.spotify.com/track/7vOErF6FSlgJVTgMoLaHB4,,
67-73,https://open.spotify.com/track/3qRQlXetEEpmVuNInSoNzA,,
