name,links,intro,about
Edge of Decline,https://open.spotify.com/track/23obgNMUyQl4yuxxrw6a7e,,
La Entrada,https://open.spotify.com/track/1IXql4ZilyF9mFUxxzstvI,,
Self-Entitled Fuck,https://open.spotify.com/track/5aBZYD7AIDDiY5oH0swwLb,,
The Breeding,https://open.spotify.com/track/3czt49AFJIVGzGCdfeoOse,,
Laced with Lead,https://open.spotify.com/track/1vTkTCtenEyRoyIv0TVECo,,
The Awakening,https://open.spotify.com/track/7meqyvBTsvZvJbPmXVte8s,,
I Don't Know,https://open.spotify.com/track/3hxn9pRXSc81QSbi65GRrr,,
The Preacher,https://open.spotify.com/track/33gOYUxflHKu30ngYcza7M,,
Suffocation,https://open.spotify.com/track/3xo2Ex3e7fYohmvGxDlGlF,,
Strangled by a Straitjacket,https://open.spotify.com/track/7rdAMlt7w7aDeaaxiIftdU,,
Lie to Me,https://open.spotify.com/track/47Z5az4Yt4SbAgMZmbc5FV,,
Burning Up,https://open.spotify.com/track/33K8TtvHhO5jIjDAookTmi,,
