name,links,intro,about
Jail Time with Mr. Murd,https://open.spotify.com/track/7wSTBpopzTLaXMUcFqy4DZ,,
Graveyard Party,https://open.spotify.com/track/6xjHsmr4ELmuzueAizOCsz,,
Your Tissue SVP,https://open.spotify.com/track/6dgbRqtRKjgwvIkE1IDLJv,,
SNG PLSTN,https://open.spotify.com/track/5CVVHwF4UY8avmsoq1DxQG,,
I Think This Is Reasonable,https://open.spotify.com/track/6EihM3b1VzDoxS1hi7gwWc,,
HRTSPC,https://open.spotify.com/track/1XuhSrvp8VFLdkcioO57Jg,,
NOZPLZ,https://open.spotify.com/track/4Of24RovYCiLzTsQpPHCx3,,
Dada's Bone,https://open.spotify.com/track/5nhTv0YPOry208I4CqmZ9B,,
OCNC XTR,https://open.spotify.com/track/4b4XuJzTqbWf2x14cwN0Dz,,
EZ PPL 4 TRTH,https://open.spotify.com/track/6lDjFpSDgfh8GtiwGu9h2A,,
Don't Forget to Not Remember Who,https://open.spotify.com/track/4xHDmzn7OWcOP8fr3sHCjk,,
