name,links,intro,about
Pacific Walk / 100k Birds,https://open.spotify.com/track/1UwRJyhtCWt40i1Ca6gmVK,,
Coliformia,https://open.spotify.com/track/6cVDh5vDTXQvqgDKaPiMpM,,
Not for Mammon,https://open.spotify.com/track/2oB2xLVu1tiqWWIzxtt0Nr,,
A Friend Is a Friend,https://open.spotify.com/track/2ffyceQHw0u0yXQLKHoear,,
Journey etc...,https://open.spotify.com/track/4n9TCBR35x8HlDkUr5KTnr,,
Why Is the Demon Hiding,https://open.spotify.com/track/2y0EUHZQtzU9QS6h84FnMS,,
Elephant on Channel 1,https://open.spotify.com/track/7rrILsOgjXqWQIgNLF7yBX,,
Getrunken at Gold-Line,https://open.spotify.com/track/09JAWAPpr5A0GUeiG84FOC,,
Bonus Life Part 2,https://open.spotify.com/track/0TsWxW1zoKEMkxqDmR4F2Q,,
Voodoo at Home,https://open.spotify.com/track/3saEdqMhNYIZIlGAGnlp2e,,
