name,links,intro,about
CS4 aka Firefall,https://open.spotify.com/track/31myfDAOUF9DkQHioxZZ8j,,
Prism (for Children),https://open.spotify.com/track/4sN8TXdsbjAfomMiUbeUms,,
The Web's Fluids,https://open.spotify.com/track/4zGEujxlC24RSys33BVlQm,,
Dont Mess with J,https://open.spotify.com/track/6HwIXGIgm9mBDEInOqZ5EJ,,
CS6 aka Red Acid Friend,https://open.spotify.com/track/2NPwXwee8866CVBXRRdhbb,,
While you're there,https://open.spotify.com/track/7cIALHBwaWxJCh3zzEa2ah,,
RHDS and Sunset,https://open.spotify.com/track/3NORNnrxczOrNTaI3K7yFs,,
Quintennaissance (of Art and BS),https://open.spotify.com/track/0Q6IKjRdne8mKZl1s8cRtZ,,
Karma Thoughts,https://open.spotify.com/track/0V2xu42GvTyv3nbzIIKszb,,
Forgotten Village,https://open.spotify.com/track/0w5Yker9YHNRUVkSl00M9n,,
Quiesensce,https://open.spotify.com/track/3QnE5T8lmKRgS5aJam1yFV,,
Dub-bop FRVR,https://open.spotify.com/track/2zJOnHTh7VV6WldQBIoJBj,,
Counter on Eli's,https://open.spotify.com/track/028MLBELKljpAHNCsCbT6w,,
Majiq Told Me,https://open.spotify.com/track/3wlPyimK1NVoN6uSddJV8Z,,
Her Jan Jan,https://open.spotify.com/track/4usEWABRpgRwzOYUbTYQfZ,,
Not Fur You (Fur N),https://open.spotify.com/track/6A2V8zpzCmTgQR57oIFNfw,,
