name,links,intro,about
Wild East,https://open.spotify.com/track/6y7zC8oa09orVvwOkuNJVM,,
Ballad of a Stream and the Sea,https://open.spotify.com/track/7CLi9EV8dvasGS6SxQWEzd,,
Bad Boy,https://open.spotify.com/track/7LC4oAksC3banlh3lqAn7M,,
Zameru,https://open.spotify.com/track/5YguM7UKIlYmvrovu3dypr,,
Neula,https://open.spotify.com/track/0h32ep5V5NHGUoKd5M1oiM,,
Blessing,https://open.spotify.com/track/1XkNzoGuDWXy0iylS3DzLd,,
Le Troubadour,https://open.spotify.com/track/14GDs1i9bBkpOcZWD8vpbV,,
Going Wild,https://open.spotify.com/track/2kEWMoBDKSlSN19IMbeICU,,
Song for Anna,https://open.spotify.com/track/7eRqh1Qxdn5e9AE8vwn7oh,,
Anna Boei,https://open.spotify.com/track/43QwUeRfapCNDZBVYW3vHU,,
Ann's Tune,https://open.spotify.com/track/4XS8N7VGNScURyOE5TrJhq,,
