name,links,intro,about
gen wo lai,https://open.spotify.com/track/5wwogG34a4bKjLiJU5wgmN,,
pineapple eyes,https://open.spotify.com/track/6DlZprWdyZuU3VYjGBaEaE,,
back of my head,https://open.spotify.com/track/69yWL3IX35nSo97Mgmr2gN,,
lonely udon,https://open.spotify.com/track/1kPCPnObUJLDdH6ujWwdnE,,
pink lips on a blue face,https://open.spotify.com/track/7rbd0kBKAV3w8nPlzPmWDI,,
emails from suzanne,https://open.spotify.com/track/4woNCqTRoWipuMaUSdVb08,,
yuè liàng,https://open.spotify.com/track/1XRk4KnM6LbOCLx6CexNDu,,
ballet of your blood,https://open.spotify.com/track/7ljKC1W9u0x0LjqySC1lz7,,
dan dan bub,https://open.spotify.com/track/7jhBJBOLLi9fTybVHJDs4f,,
⼀ 個 謎 (a mystery),https://open.spotify.com/track/2RcBYatxgfF4zBX61evl5k,,
gor gor,https://open.spotify.com/track/3tFtKix2jA3nHpFuTG3sxI,,
bubble bee,https://open.spotify.com/track/3DKu6r9dgvxx6vxhAqwKCy,,
