name,links,intro,about
Prelude,https://open.spotify.com/track/4J8UMWyCvDDpsfx89utlzE,,
Been Chasing a Ghost Lately,https://open.spotify.com/track/24RMQrAshIEh4Uo0V9t7TC,,
Commie Barbie,https://open.spotify.com/track/6kIXKyyXlXhxL86GsgYQnU,,
So Long,https://open.spotify.com/track/3PbZeeopq1RCRHTs4phDuQ,,
To Crash a Car,https://open.spotify.com/track/49NTHfz33GNl2ptU1VZzaS,,
Picture the Portrait,https://open.spotify.com/track/0izGMMDIqGXc5q5iEAFSax,,
What's Another Lull,https://open.spotify.com/track/4TZPaYtgZsrY2PCqJ6VucQ,,
Jolie Laide,https://open.spotify.com/track/6nqYfw2MEfGLpKuGCEn0Qs,,
The Lullaby,https://open.spotify.com/track/7wbVHjcGIx8wD9MyRjP7WQ,,
She Said,https://open.spotify.com/track/6zxHq6yL5oEk0SQvT3TRd4,,
